.I,.W,.A,.N
1,"What articles exist which deal with TSS (Time Sharing System), an operating system for IBM computers?",,"1. Richard Alexander, Comp Serv, Langmuir Lab (TSS)"
2,I am interested in articles written either by Prieve or Udo Pooch,"Prieve, B. Pooch, U.","2. Richard Alexander, Comp Serv, Langmuir Lab (author = Pooch or Prieve)"
3,Intermediate languages used in construction of multi-targeted compilers; TCOLL,,"3. Donna Bergmark, Comp Serv, Uris Hall (intermed lang)"
4,"I'm interested in mechanisms for communicating between disjoint processes, possibly, but not exclusively, in a distributed environment.  I would rather see descriptions of complete mechanisms, with or without implementations, as opposed to theoretical work on the abstract problem.  Remote procedure calls and message-passing are examples of my interests.",,4. Pavel Curtis (comm mech for disjoint processes)
5,"I'd like papers on design and implementation of editing interfaces, window-managers, command interpreters, etc.  The essential issues are human interface design, with views on improvements to user efficiency, effectiveness and satisfaction.",,5. Pavel Curtis (editing interfaces)
6,"Interested in articles on robotics, motion planning particularly the geometric and combinatorial aspects.  We are not interested in the dynamics of arm motion.",,6. John Hopcroft (robotics)
7,I am interested in distributed algorithms - concurrent programs in which processes communicate and synchronize by using message passing. Areas of particular interest include fault-tolerance and techniques for understanding the correctness of these algorithms.,,7. Fred Schneider (dist algorithms)
8,Addressing schemes for resources in networks; resource addressing in network operating systems,,8. Alison Brown (addr in networks)
9,"Security considerations in local networks, network operating systems, and distributed systems.",,9. Alison Brown (security in networks)
10,Parallel languages; languages for parallel computation,,"10. Alec Grimison, Comp Serv, Uris Hall (parallel lang)"
11,"SETL, Very High Level Languages",,11. Alec Grimison (SETL; very high level lang)
12,portable operating systems,,12. Ralph Johnson (portable op sys)
13,code optimization for space efficiency,,13. Ralph Johnson (code opt for space)
14,find all discussions of optimal implementations of sort algorithms for database management applications,,"14. Kenneth Wilson, Physics, Newman Lab (sort for database)"
15,Find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization.,,15. Kenneth Wilson (horizontal microcode opt)
16,find all descriptions of file handling in operating systems based on multiple processes and message passing.,,16. Kenneth Wilson (file handling in dist sys)
17,Optimization of intermediate and machine code,,17. Donna Bergmark (opt of intermediate code)
18,"Languages and compilers for parallel processors, especially highly horizontal microcoded machines; code compaction",,18. Donna Bergmark (lang for parallel proc)
19,Parallel algorithms,,19. Chanderjit Bajaj (parallel algorithms)
20,Graph theoretic algorithms applicable to sparse matrices,,20. Chanderjit Bajaj (graph alg for sparce matrices)
21,"computational complexity, intractability, class-complete reductions, algorithms and efficiency",,"21. Jim Mildrew (5 sep queries? comp complex, intract, c-c red, alg & eff)"
22,"I am interested in hidden-line and hidden-surface algorithms for cylinders, toroids, spheres, and cones.  This is a rather specialized topic in computer graphics.",,22. Wally Dietrich (hidden line and surf alg)
23,Distributed computing structures and algorithms,,23. Ozalp Babaoglu (dist comp struct & alg)
24,Applied stochastic processes,,24. Ozalp Babaoglu (appl stochastic proc)
25,Performance evaluation and modelling of computer systems,,25. Ozalp Babaoglu (perf eval)
26,Concurrency control mechanisms in operating systems,,26. Ozalp Babaoglu (concurrency control)
27,Memory management aspects of operating systems,,27. Ozalp Babaoglu (memory management)
28,"Any information on packet radio networks.  Of particular interest are algorithms for packet routing, and for dealing with changes in network topography.  I am not interested in the hardware used in the network.",,28. Dean Jagels (packet radio nets)
29,"Number-theoretic algorithms, especially involving prime number series, sieves, and Chinese Remainder theorem.",,29. Paul Pritchard (num-theoretic alg)
30,"Articles on text formatting systems, including ""what you see is what you get"" systems.  Examples: t/nroff, scribe, bravo.",,30. Dean Krafft (text formatters)
31,"I'd like to find articles describing the use of singular value decomposition in digital image processing.  Applications include finding approximations to the original image and restoring images that are subject to noise. An article on the subject is H.C. Andrews and C.L. Patterson ""Outer product expansions and their uses in digital image processing"", American Mathematical Monthly, vol. 82.","Andrews, H.C. Patterson, C.L.",31. Bengt Aspvall (sing value decomp)
32,I'd like to find articles describing graph algorithms that are based on the eigenvalue decomposition (or singular value decomposition) of the ajacency matrix for the graph.  I'm especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method.,,32. Bengt Aspvall (graph alg / eigenvalue decomp)
33,"Articles about the sensitivity of the eigenvalue decomposition of real matrices, in particular, zero-one matrices.  I'm especially interested in the separation of eigenspaces corresponding to distinct eigenvalues. Articles on the subject: C. Davis and W.M. Kahn, ""The rotation of eigenvectors by a permutation:, SIAM J. Numerical Analysis, vol. 7, no. 1 (1970); G.W. Stewart, ""Error bounds for approximate invariant subspaces of closed linear operators"", SIAM J. Numerical Analysis., Vol. 8, no. 4 (1971).","Davis, C. Kahn, W.M. Stewart, G.W.",33. Bengt Aspvall (sens of eigenval decomp of real matrices)
34,"Currently interested in isolation of root of polynomial; there is an old article by Heindel, L.E. in J. ACM, Vol. 18, 533-548.  I would like to find more recent material.","Heindel, L.E.",34. Gaby Bracha (isolation of root polynomial)
35,"Probabilistic algorithms especially those dealing with algebraic and symbolic manipulation.  Some examples: Rabiin, ""Probabilistic algorithm on finite field"", SIAM Waztch, ""Probabilistic testing of polynomial identities"", SIAM","Rabin,M.",35. Gaby Bracha (prob alg)
36,Fast algorithm for context-free language recognition or parsing,,36. Juris Hartmanis (fast alg for lang recog/parsing)
37,"Articles describing the relationship between data types and concurrency (e.g. what is the type of a process?  when is a synchronization attempt  between two processes ""type correct""?  in a message-passing system is there any notion of the types of messages?--i.e. any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type)",,"37. Hal Perkins, Comp Sci, Cornell"
38,"What is the type of a module?	(I don't want the entire literature on Abstract Data Types here, but I'm not sure how to phrase this to avoid it. I'm interested in questions about how one can check that a module ""matches"" contexts in which it is used.)",,38. Hal Perkins
39,"What does type compatibility mean in languages that allow programmer defined types?  (You might want to restrict this to ""extensible"" languages that allow definition of abstract data types or programmer-supplied definitions of operators like *, +.)",,39. Hal Perkins
40,"List all articles dealing with data types in the following languages: Pascal, CLU, Alphard, Russell, Ada, ALGOL 68, EL1.  List any other languages that are referenced frequently in papers on the above languages (e.g. catch any languages with interesting type structures that I might have missed).",,40. Hal Perkins
41,"Theory of distributed systems and databases.  Subtopics of special interest include reliability and fault-tolerance in distributed systems, atomicity, distributed transactions, synchronization algorithms,  resource allocation; lower bounds and models for asynchronous parallel systems.  Also theory of communicating processes and protocols.",,"41. Michael J. Fischer, Computer Sci., Yale Univ., 10 Hillhouse Ave.,      P.O. Box 2158 Yale Station, New Haven, Conn.  06520"
42,Computer performance evaluation techniques using pattern recognition and clustering.,,"42. George R. Cross, Lousiana State Univ., Comp Sci Dept, Baton Rouge.,      LA    70803"
43,"Analysis and perception of shape by humans and computers.  Shape descriptions, shape recognition by computer.  Two-dimensional shapes. Measures of circularity.  Shape matching.",,43. George R. Cross
44,Texture analysis by computer.	Digitized texture analysis.  Texture synthesis. Perception of texture.,,44. George R. Cross
45,"The use of operations research models to optimize information system performance.  This includes fine tuning decisions such as secondary index selection, file reorganization, and distributed databases.",,"45. Donald Kraft, Louisiano State Univ., Comp Sci"
46,The application of fuzzy subset theory to clustering and information retrieval problems.  This includes performance evaluation and automatic indexing considerations.,,46. Donald Kraft
47,The use of Bayesian decision models to optimize information retrieval system performance.  This includes stopping rules to determine when a user should cease scanning the output of a retrieval search.,,47. Donald Kraft
48,"The use of computer science principles (e.g. data structures,  numerical methods) in generating optimization (e.g. linear programming) algorithms.  This includes issues of the Khachian (Russian, ellipsoidal) algorithm and complexity of such algorithms.",,48. Donald Kraft
49,"The role of information retrieval in knowledge based systems (i.e., expert systems).",,49. Donald H. Kraft
50,Parallel processors in information retrieval,,"50. Walter Rudd, Louisiana State Univ., Comp Sci"
51,Parallel processors and paging algorithms,,51. Walter Rudd
52,Modelling and simulation in agricultural ecosystems.,,52. Walter Rudd
53,"mathematical induction, group theory, integers modulo m, probability, binomial coefficients, binomial theorem, homomorphism, morphism, transitivity, relations, relation matrix.",,"53. H. F. Mattson, Jr., School of Computer and Information Science,      Syracuse University, 313 Link Hall, Syracuse, N.Y. 13210"
54,"Semantics of programming languages, including abstract specifications of data types, denotational semantics, and proofs of correctness.","Hoare, A. Dijkstra, E.","54. Michael A. Arbib, Dept. Of Computer And Information Science,  University of Massachusetts, Amherst, MA 01003"
55,Anything dealing with star height of regular languages or regular expressions or regular events.,,"55. Maura Flatley, Comp Sci, Cornell"
56,Articles relation the algebraic theory of semigroups and monoids to the study of automata and regular languages.,,56. Maura Flatley
57,"Abstracts of articles:     J. Backus, ""Can programming be liberated from the Von Neumann style?                A functional style and its algebra of programs"", CACM 21                (1978), 613-641.     R.A.De Millo, R.J. Lipton, A.J. Perlis, letter to ACM Forum, CACM 22 	       (1979), 629-630","Backus, J. De Millo, R.A. Lipton, R.J. Perlis, A.J.","57. Maura Flatley, Comp Sci Cornell"
58,"Algorithms or statistical packages for ANOVA, regression using least squares or generalized linear models.  System design, capabilities, statistical formula are of interest.  Student's t test, Wilcoxon and sign tests, multivariate and univariate components can be included.",,58. Ed Fox
59,Dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information. Hashing or indexing methods are usually applied to English spelling or natural language problems.,,59. Ed Fox
60,"Hardware and software relating to database management systems. Database packages, back end computers, special associative hardware with microcomputers attached to disk heads or things like RAP,  relational or network (CODASYL) or hierarchical models, systems like SYSTEM R, IMS, ADABAS, TOTAL, etc.",,60. Ed Fox
61,"Information retrieval articles by Gerard Salton or others about clustering, bibliographic coupling, use of citations or co-citations, the vector space model, Boolean search methods using inverted files, feedback, etc.","Salton, G.",61. Ed Fox
62,Results relating parallel complexity theory (both for PRAM's and uniform circuits).,,"62. Mark W. Krentel, Comp Sci Cornell"
63,"Algorithms for parallel computation, and especially comparisons between parallel and sequential algorithms.",,63. Mark W. Krentel
64,List all articles on EL1 and ECL (EL1 may be given as EL/1; I don't remember how they did it.,,"64. Hal Perkins, Comp Sci, Cornell"
